Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),Plastic Bags (Large),50KGS Suck
8/4/2023,0,2,0,10,13,16,29,0,326,0,21
8/7/2023,0,0,0,2,7,2,1,1,79,2,2
8/7/2023,1,0,0,12,6,3,2,1,196,1,20
8/8/2023,1,0,0,1,4,2,2,0,200,0,27
8/10/2023,1,0,0,1,3,2,2,2,155,10,6
2023-08-05,0,0,0,3,10,10,0,0,105,0,38
2023-08-11,0,3,0,7,5,3,2,1,169,12,19
2023-08-14,0,0,0,0,7,0,0,1,47,2,2
2023-08-14,1,3,0,7,9,4,4,2,197,12,6
2023-08-15,0,0,0,3,0,4,2,1,81,14,6
2023-08-16,1,1,0,1,1,2,1,1,164,0,2
2023-08-17,0,0,0,5,2,1,0,1,0,79,0
2023-08-17,0,0,0,0,0,0,0,0,79,4,0
2023-08-19,1,5,0,1,0,1,1,0,73,4,3
2023-08-19,0,0,0,21,0,0,0,0,50,1,0
2023-08-21,1,2,0,2,3,4,2,0,124,0,18
2023-08-22,0,0,0,13,1,3,1,0,97,0,6
2023-08-23,0,1,0,1,2,1,4,2,113,0,14
2023-08-24,0,0,0,12,0,0,0,0,0,0,0
2023-08-24,1,0,0,5,2,3,1,0,211,0,1
2023-08-25,0,0,0,2,0,0,1,0,122,0,11
2023-08-26,0,0,0,3,2,0,0,0,35,2,0
2023-08-28,1,0,0,3,5,3,0,1,107,0,17
2023-08-29,0,3,0,8,1,1,0,0,89,0,12
2023-08-30,1,3,0,2,4,4,1,1,204,0,12
2023-08-31,0,0,0,2,1,1,0,0,76,0,8
2023-09-01,1,3,0,13,5,1,3,1,141,0,18
