Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck
2024-01-02,1,1,0,2,3,1,1,0,170,0,5
2024-01-03,1,2,0,32,1,3,0,3,234,0,21
2024-01-04,0,1,0,2,11,0,0,3,239,0,9
2024-01-06,0,0,0,0,21,4,0,1,322,0,31
2024-01-08,1,0,0,13,16,3,0,1,147,1,25
2024-01-09,2,1,0,22,9,0,0,1,102,0,10
2024-01-10,0,2,0,5,0,2,0,0,170,0,13
2024-01-11,1,0,0,23,0,2,0,3,226,0,11
2024-01-12,0,0,0,3,0,1,1,0,115,0,16
2024-01-13,0,0,0,3,0,1,0,1,98,0,9
2024-01-15,1,1,0,6,0,5,2,1,245,0,25
2024-01-16,1,3,0,16,0,0,0,3,131,0,17
2024-01-18,1,2,0,6,1,1,4,0,215,0,6
2024-01-18,1,1,0,3,2,3,1,0,86,0,13
2024-01-19,0,0,0,12,0,2,1,0,121,1,13
2024-01-20,1,0,0,4,5,2,0,0,67,0,9
2024-01-22,1,0,0,12,5,1,1,0,159,1,27
2024-01-23,1,1,0,3,2,4,1,0,50,0,0
2024-01-24,0,1,0,16,3,0,0,0,157,0,13
2024-01-25,0,2,0,12,3,0,2,1,190,0,16
2024-01-26,0,0,0,7,2,0,4,0,279,0,10
2024-01-27,1,1,0,3,9,2,0,0,69,0,0
2024-01-29,1,2,0,6,7,2,0,0,67,0,24
2024-01-30,0,1,0,29,8,2,1,1,187,0,2
2024-02-01,1,2,0,7,4,2,1,0,138,0,31
