Date,G Printers,ClearTapes,BrandedTapes,Plastic Bags (Small),Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck,Orders
7/1/2024,2,7,0,0,0,8,0,546,4,71,396
7/2/2024,0,0,0,0,0,0,0,0,0,0,56
7/3/2024,0,0,0,0,0,0,0,0,0,0,526
7/4/2024,1,0,0,0,0,0,0,0,0,0,275
7/5/2024,1,4,0,0,0,1,1,429,4,66,514
7/6/2024,0,0,0,0,0,0,1,47,0,5,120
7/8/2024,1,4,0,0,5,4,0,274,0,22,436
7/9/2024,1,2,0,0,7,10,0,133,0,7,309
7/10/2024,0,1,0,0,0,0,0,184,5,14,356
7/11/2024,1,0,0,0,0,0,0,98,1,18,285
7/12/2024,1,0,0,0,2,0,0,198,2,12,323
7/13/2024,0,1,0,0,2,0,0,147,1,21,256
7/15/2024,1,2,0,0,1,4,0,196,0,16,0
2024-07-17,0,0,0,0,0,0,0,0,0,0,525
2024-07-18,0,0,0,0,0,0,0,0,0,0,234
2024-07-17,4,2,0,0,2,2,0,688,5,31,424
2024-07-20,1,1,0,0,0,0,0,112,1,31,209
2024-07-22,1,2,0,0,7,2,0,380,3,31,451
2024-07-24,1,3,0,0,0,2,0,13,0,32,404
2024-07-25,0,0,0,0,0,0,0,63,1,4,145
2024-07-26,0,0,0,0,0,0,0,0,0,0,320
2024-07-27,0,0,0,0,0,0,0,0,0,0,301
2024-07-29,2,2,0,51,1,3,0,591,0,63,445
2024-07-30,0,4,0,33,0,0,0,324,2,34,386
2024-07-31,0,1,0,116,0,0,0,163,0,3,309
