Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck,Orders
6/3/2024,1,2,0,14,0,0,2,1,187,2,28,362
6/4/2024,0,3,0,3,20,0,4,0,110,0,16,264
6/5/2024,1,3,0,14,17,0,1,0,190,5,13,349
6/6/2024,1,0,0,4,6,0,0,0,187,0,16,315
2024-06-07,1,3,0,20,13,1,0,0,120,0,16,332
2024-06-08,0,1,0,6,5,0,2,0,168,2,11,255
2024-06-10,1,1,0,9,5,0,5,0,227,0,25,390
2024-06-11,0,1,0,14,9,0,0,0,161,1,10,266
2024-06-12,1,1,0,29,25,0,2,0,86,3,27,325
2024-06-13,0,1,0,16,0,0,0,0,136,0,13,223
2024-06-14,1,3,0,16,0,0,3,0,214,0,17,309
2024-06-15,0,1,0,9,0,1,14,0,128,0,22,227
2024-06-17,0,0,0,0,0,0,0,0,0,0,0,138
2024-06-17,1,1,0,18,13,3,1,0,233,1,34,138
2024-06-18,1,1,0,15,11,0,0,0,158,1,9,311
2024-06-19,0,0,0,12,6,0,0,0,128,1,26,307
2024-06-20,0,0,0,0,0,0,0,0,0,0,0,269
2024-06-21,1,0,0,11,10,2,0,1,107,2,12,255
2024-06-22,0,0,0,0,3,2,0,0,131,0,11,224
2024-06-24,1,2,0,18,8,1,0,0,212,0,14,363
2024-06-25,0,0,0,0,0,0,0,0,0,0,0,56
2024-06-26,0,0,0,0,0,0,0,0,0,0,0,299
2024-06-27,0,0,0,0,0,0,0,0,0,0,0,3
2024-06-28,2,2,0,54,40,1,2,1,396,0,62,422
2024-06-29,0,1,0,6,1,0,0,2,129,1,11,243
