Date,G Printers,Clear Tapes,Branded Tapes,A5 Envelopes,A4 Envelopes,Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),Plastic Bags (Large),50KGS Suck
2023-10-02,1,0,0,10,7,2,4,2,463,0,24
2023-10-03,0,3,0,1,6,1,0,1,67,0,8
2023-10-04,1,2,0,5,0,3,2,3,42,0,9
2023-10-05,0,0,0,12,0,3,2,0,149,0,9
2023-10-06,1,0,0,11,0,10,4,0,219,0,4
2023-10-07,0,1,0,5,2,0,0,1,84,0,6
2023-10-09,1,0,0,6,1,3,1,1,239,0,12
2023-10-10,0,0,0,2,2,0,0,0,20,0,2
2023-10-11,1,2,0,11,15,2,1,0,234,0,22
2023-10-12,0,2,0,2,9,0,1,1,72,0,3
2023-10-13,1,1,0,0,11,1,2,0,110,0,6
2023-10-14,0,3,0,0,6,0,1,0,73,0,5
2023-10-16,1,1,0,0,4,0,0,1,213,0,10
2023-10-17,0,0,0,3,7,0,1,0,82,0,10
2023-10-18,0,0,0,4,5,5,1,1,173,0,8
2023-10-19,1,1,0,9,10,2,1,1,99,1,10
2023-10-20,0,2,0,0,0,0,0,0,10,1,13
2023-10-21,0,0,0,6,2,0,0,1,82,6,8
2023-10-23,1,0,0,8,6,2,2,0,401,14,9
2023-10-24,0,1,0,1,4,2,1,0,60,1,3
2023-10-25,1,0,0,6,2,0,3,0,76,10,2
2023-10-26,0,1,0,1,2,2,1,1,95,11,0
2023-10-27,1,0,0,1,0,2,1,0,159,9,0
2023-10-28,0,0,0,13,16,0,1,0,70,12,0
2023-10-30,1,2,0,2,5,0,3,1,192,16,0
2023-10-31,0,0,0,0,3,0,2,1,100,0,2
