Date,G Printers,ClearTapes,BrandedTapes,Plastic Bags (Small),Carton Boxes (Small),Carton Boxes (Medium),Carton Boxes (Large),Plastic Bags (Medium),90KGS Suck,50KGS Suck,Orders
2024-08-01,1,2,0,4,3,2,0,135,1,16,312
2024-08-02,0,0,0,0,0,0,0,0,0,0,367
2024-08-03,2,3,0,72,0,3,0,326,0,37,340
2024-08-05,1,7,0,24,0,3,0,328,0,34,449
2024-08-06,1,2,0,42,0,2,0,131,0,14,341
2024-08-07,1,1,0,37,0,1,0,137,0,8,561
2024-08-09,0,0,0,0,0,0,0,0,0,0,449
2024-08-10,0,0,0,0,0,0,0,0,0,0,408
2024-08-12,3,0,0,101,6,17,0,432,1,59,397
2024-08-13,0,6,0,38,0,0,0,562,2,7,332
2024-08-14,1,4,0,47,0,0,0,135,0,26,373
2024-08-15,1,1,0,22,0,6,0,196,0,10,259
2024-08-16,0,1,0,18,5,3,0,115,0,5,250
2024-08-17,1,1,0,100,2,0,0,140,0,5,351
2024-08-19,1,2,0,76,3,8,0,291,0,34,318
2024-08-20,0,0,0,0,0,0,0,0,0,0,275
2024-08-21,3,1,0,57,1,3,1,217,4,24,305
2024-08-22,0,1,0,8,0,3,0,112,1,6,202
2024-08-23,1,1,0,39,0,4,0,127,0,16,381
2024-08-24,0,0,0,9,1,0,0,90,0,12,215
